iter	RMSE
0	1.119453947
1	1.090502816
2	1.063270714
3	1.035534459
4	1.01049356
5	0.9871865927
6	0.9645342727
7	0.9438133376
8	0.9243507435
9	0.9058613351
10	0.8891529604
11	0.8728573577
12	0.8579097067
13	0.8430818596
14	0.8288542787
15	0.8164784254
16	0.8041502765
17	0.791252525
18	0.7806127115
19	0.7701634215
20	0.7599011708
21	0.7500906955
22	0.7397889483
23	0.7316309584
24	0.7241751219
25	0.7168181215
26	0.7103035492
27	0.7015388027
28	0.6941734431
29	0.6878056837
30	0.6820679275
31	0.6767021509
32	0.6719023526
33	0.6666458379
34	0.6621472097
35	0.6564254092
36	0.6511330633
37	0.6471848464
38	0.6437491319
39	0.6399051453
40	0.6350642735
41	0.632237161
42	0.628864603
43	0.6263120187
44	0.6233431964
45	0.620752139
46	0.6169595825
47	0.6147439191
48	0.6121190911
49	0.6101480717
50	0.6080700373
51	0.6059054754
52	0.6038727971
53	0.6018351754
54	0.5994106862
55	0.596534347
56	0.5953074555
57	0.592130591
58	0.5902029493
59	0.587991244
60	0.5864374006
61	0.5852045174
62	0.582205932
63	0.5802892453
64	0.5786356432
65	0.5764376983
66	0.5752234405
67	0.5738655331
68	0.5715886251
69	0.5703876662
70	0.5689093454
71	0.5670017023
72	0.5656284314
73	0.5641068377
74	0.563022879
75	0.5612482571
76	0.5592704254
77	0.5583675704
78	0.5573886666
79	0.5564180909
80	0.5553785003
81	0.5542845394
82	0.5537389644
83	0.5521504949
84	0.5513454498
85	0.5503450714
86	0.5491224039
87	0.5484274656
88	0.5476563232
89	0.5464273264
90	0.5452217683
91	0.5441583432
92	0.5432286079
93	0.5424002195
94	0.5418359233
95	0.5409657994
96	0.5402578564
97	0.5389984609
98	0.5377228591
99	0.5367268907
100	0.5361883203
101	0.5356439483
102	0.5347236431
103	0.5338220876
104	0.5331768316
105	0.5324883609
106	0.5315701019
107	0.530993006
108	0.5304573186
109	0.5297815434
110	0.5287301578
111	0.5279217336
112	0.5275480952
113	0.5270173425
114	0.5264583944
115	0.5258660252
116	0.5254523185
117	0.5248832606
118	0.5243565139
119	0.5237291486
120	0.523345943
121	0.522618742
122	0.521874594
123	0.5212714887
124	0.5206510116
125	0.5202456356
126	0.5194172675
127	0.5187126505
128	0.5180002948
129	0.5175583875
130	0.516940228
131	0.5165782899
132	0.5162943027
133	0.5152600206
134	0.5147052932
135	0.5141837048
136	0.5138422698
137	0.5131349724
138	0.5127455432
139	0.5123073123
140	0.5117211025
141	0.5114501607
142	0.5110370297
143	0.5106049043
144	0.5103550326
145	0.5095561105
146	0.5092709989
147	0.5090196088
148	0.5085040934
149	0.5081381261
150	0.5072654368
151	0.5066542855
152	0.5060484556
153	0.5054326307
154	0.5049867025
155	0.5044839678
156	0.5042015032
157	0.5037790912
158	0.5033078296
159	0.5028214538
160	0.5022033199
161	0.5014837951
162	0.5011334881
163	0.500812973
164	0.5003789311
165	0.4996666924
166	0.4993499635
167	0.4989429648
168	0.498606526
169	0.4982465365
170	0.4975558238
171	0.497167461
172	0.4968732561
173	0.4965015112
174	0.4961420447
175	0.4957937481
176	0.4954104869
177	0.4943570098
178	0.4940214522
179	0.4936435794
180	0.4932269791
181	0.4928924127
182	0.4925292334
183	0.4921207334
184	0.4918093459
185	0.4914331785
186	0.4908916833
187	0.4903547968
188	0.4899447582
189	0.4894782074
190	0.4889976717
191	0.4886921815
192	0.4882829412
193	0.4876139604
194	0.4872657167
195	0.4867017413
196	0.4863133823
197	0.485739892
198	0.4852137362
199	0.4850280056
200	0.4846590529
201	0.4843406002
202	0.4839735781
203	0.4837223083
204	0.4833242433
205	0.4827320902
206	0.4823214294
207	0.4819879494
208	0.4816443604
209	0.4813062087
210	0.4807809818
211	0.4803627365
212	0.4801781245
213	0.4796334283
214	0.4791965729
215	0.4783616063
216	0.4778304243
217	0.4775589002
218	0.4771878598
219	0.4767589882
220	0.4762049821
221	0.475975167
222	0.4756141815
223	0.4753387757
224	0.4746727293
225	0.4742075222
226	0.4737734721
227	0.4733557938
228	0.4729217151
229	0.4725767707
230	0.4720444078
231	0.4716094545
232	0.4709344593
233	0.470596334
234	0.4700993026
235	0.4696549675
236	0.4693770124
237	0.469046031
238	0.4687421482
239	0.4684524486
240	0.4680927416
241	0.4676629762
242	0.4674380811
243	0.467135798
244	0.4669251754
245	0.4666749511
246	0.4663503124
247	0.4660622835
248	0.4655151493
249	0.4652290242
250	0.4648493534
251	0.464422189
252	0.4640252462
253	0.4637389266
254	0.4634599962
255	0.4629221915
256	0.4626756568
257	0.4619848794
258	0.4614935834
259	0.4612011844
260	0.4609464992
261	0.4607305954
262	0.4604503055
263	0.4600945534
264	0.4597683595
265	0.4595889516
266	0.4592556464
267	0.4589974712
268	0.4586592114
269	0.4583745348
270	0.4580502591
271	0.4576925489
272	0.4573764656
273	0.4568087032
274	0.4565883716
275	0.456330266
276	0.4559655622
277	0.455372638
278	0.4550283866
279	0.45471554
280	0.4544907143
281	0.4540905823
282	0.453783484
283	0.4534822795
284	0.4532031895
285	0.4529671201
286	0.4526191386
287	0.4523454091
288	0.4520431687
289	0.4518721259
290	0.4515713655
291	0.4512772522
292	0.4508031205
293	0.4505353185
294	0.4501640107
295	0.4497031828
296	0.4493335827
297	0.4490427035
298	0.448737895
299	0.4485412151
300	0.4482335457
301	0.448000766
302	0.4476149861
303	0.4472927921
304	0.4471191221
305	0.4469055795
306	0.4466914434
307	0.4463248203
308	0.4461343844
309	0.4459143316
310	0.4457215084
311	0.4454469555
312	0.4450885585
313	0.4449159606
314	0.4446704831
315	0.4444989309
316	0.4442023403
317	0.4439393333
318	0.4437209324
319	0.4434688956
320	0.4431584899
321	0.4428190794
322	0.4425303834
323	0.4423654357
324	0.4422089016
325	0.4419517407
326	0.4416527966
327	0.441486421
328	0.4411647178
329	0.440781266
330	0.4405193099
331	0.4403152104
332	0.4401304479
333	0.4399691026
334	0.43981261
335	0.4395486901
336	0.4393985374
337	0.438911323
338	0.4386963392
339	0.4383938546
340	0.4381673952
341	0.4378949114
342	0.4376123666
343	0.4373358924
344	0.4371248886
345	0.4369809971
346	0.4367370121
347	0.4364939288
348	0.4362834038
349	0.4360684795
350	0.4356645272
351	0.4354345599
352	0.4353077463
353	0.4350173279
354	0.4347921635
355	0.4346168497
356	0.4342978942
357	0.4341388242
358	0.433898994
359	0.4336336441
360	0.433491398
361	0.433206232
362	0.4329679106
363	0.4327743388
364	0.4326313803
365	0.4324001728
366	0.4321766642
367	0.4320018701
368	0.4317144378
369	0.4313857627
370	0.4311787193
371	0.4309615866
372	0.4305864585
373	0.4303369174
374	0.4301196934
375	0.4299208949
376	0.4297251321
377	0.4294464316
378	0.4292756886
379	0.428989743
380	0.4287863887
381	0.4284709778
382	0.4283116555
383	0.4281160018
384	0.4277855454
385	0.4276279734
386	0.4274725676
387	0.4272548688
388	0.4270593628
389	0.4268120431
390	0.4266232562
391	0.4264514133
392	0.4262137309
393	0.4259657666
394	0.4257829609
395	0.4255319716
396	0.4253212013
397	0.425046911
398	0.4248382592
399	0.4246725851
400	0.4244355936
401	0.4242327751
402	0.4240278225
403	0.423835192
404	0.4235079445
405	0.4233325203
406	0.4231748364
407	0.4229793528
408	0.4227881448
409	0.4226256054
410	0.4223875515
411	0.4222209376
412	0.4219543563
413	0.4216850372
414	0.4214470927
415	0.4212885775
416	0.4211067679
417	0.4208834714
418	0.4206881288
419	0.4205493207
420	0.4203951451
421	0.4201966509
422	0.4200551667
423	0.4199101607
424	0.4197833154
425	0.4195244713
426	0.4193176228
427	0.4191865112
428	0.4190488771
429	0.418878679
430	0.418711453
431	0.4184912175
432	0.4182785485
433	0.4181241004
434	0.4179204357
435	0.4177874116
436	0.4175613455
437	0.4173739595
438	0.4171767584
439	0.416967267
440	0.4167653736
441	0.4164604745
442	0.4162588386
443	0.4160924603
444	0.4158448161
445	0.4157244385
446	0.4155989129
447	0.4154774637
448	0.4152743248
449	0.4150749306
450	0.4147014371
451	0.4144702954
452	0.4142726438
453	0.4141303127
454	0.4139916409
455	0.4138610146
456	0.4135559754
457	0.4133769558
458	0.4131669125
459	0.4130486621
460	0.4128855889
461	0.4125917109
462	0.4124563538
463	0.4122434149
464	0.4121219134
465	0.4119873166
466	0.4118175648
467	0.411509694
468	0.4113173707
469	0.4110804254
470	0.410942435
471	0.4108107245
472	0.4105851904
473	0.4104755934
474	0.4103687358
475	0.4102814176
476	0.4100230394
477	0.4098477326
478	0.4096592604
479	0.4094804609
480	0.4092572452
481	0.4090504995
482	0.408929741
483	0.4086853089
484	0.4085028535
485	0.4083365301
486	0.4082111522
487	0.4080716398
488	0.407973577
489	0.4077750841
490	0.4076110607
491	0.4075021289
492	0.4073111936
493	0.4071071982
494	0.4068859396
495	0.4066640696
496	0.4064614557
497	0.4063050794
498	0.4061973823
499	0.4059911356
500	0.4057619314
501	0.4056289583
502	0.405539448
503	0.4054036001
504	0.4050767645
505	0.4049398558
506	0.4047566895
507	0.4046467785
508	0.4045564937
509	0.4044065886
510	0.404175637
511	0.4040159735
512	0.4038695101
513	0.4037609991
514	0.403603573
515	0.4035000787
516	0.4033488247
517	0.4032380267
518	0.4031186726
519	0.4029441188
520	0.4027575781
521	0.4026119363
522	0.4024014658
523	0.402236808
524	0.4020401688
525	0.4019473345
526	0.4017934946
527	0.4016700353
528	0.4015510722
529	0.4014589495
530	0.4012703606
531	0.4010101652
532	0.4008439629
533	0.4006340338
534	0.4005504792
535	0.4004031606
536	0.400231392
537	0.4000802347
538	0.3999702736
539	0.3997961259
540	0.3997043223
541	0.3995336427
542	0.3993724973
543	0.399240437
544	0.399061172
545	0.3989270273
546	0.3987401821
547	0.3985242163
548	0.398323184
549	0.3982353022
550	0.3979169291
551	0.3977408587
552	0.3975469308
553	0.3974078238
554	0.3972778275
555	0.397188141
556	0.3970746487
557	0.3969915482
558	0.3968055118
559	0.3967031579
560	0.3965868224
561	0.3963055582
562	0.3962158992
563	0.3959893894
564	0.3959121446
565	0.3957378394
566	0.3955766946
567	0.3954584745
568	0.3952876735
569	0.3951370486
570	0.394954726
571	0.3948545116
572	0.3946692214
573	0.3945016398
574	0.3943921198
575	0.394207896
576	0.3940292366
577	0.3939104854
578	0.39368285
579	0.3935472548
580	0.3934158289
581	0.3933520272
582	0.3932043649
583	0.393068551
584	0.3929405107
585	0.3927893805
586	0.3926172579
587	0.3924797149
588	0.3923592896
589	0.3921243481
590	0.3919578689
591	0.3917827009
592	0.3916957189
593	0.391525466
594	0.3914279173
595	0.3912508443
596	0.3911325117
597	0.3909146541
598	0.3907603298
599	0.3905545851
600	0.3903785005
601	0.3902508065
602	0.3901749557
603	0.3900850312
604	0.3898962663
605	0.3897898995
606	0.389637216
607	0.3895479737
608	0.3893212745
609	0.3892017606
610	0.3890690719
611	0.3889921265
612	0.3889095563
613	0.3887451291
614	0.388586109
615	0.3884605187
616	0.3883756419
617	0.3882460334
618	0.3881551346
619	0.3879558744
620	0.3878715426
621	0.3877627207
622	0.387525818
623	0.3873634496
624	0.3872454075
625	0.3870842323
626	0.3869389941
627	0.3867677809
628	0.3866355699
629	0.3865051663
630	0.3862814653
631	0.3861591
632	0.3860709181
633	0.3859576043
634	0.3857916238
635	0.3856247616
636	0.3854600298
637	0.385271072
638	0.385124983
639	0.3849868651
640	0.3847894182
641	0.3846511857
642	0.3845356324
643	0.3843515219
644	0.3842018274
645	0.3840432921
646	0.3838042823
647	0.38359635
648	0.3834939024
649	0.3833257136
650	0.3832412333
651	0.3830641281
652	0.3829309806
653	0.3827540923
654	0.3826540699
655	0.3824495273
656	0.3823806475
657	0.3822643425
658	0.382191218
659	0.3820967406
660	0.3819475028
661	0.3818072605
662	0.3816804639
663	0.3815748728
664	0.3814571619
665	0.381390637
666	0.3812379886
667	0.3811706485
668	0.3810944607
669	0.380924813
670	0.3807657096
671	0.3806371306
672	0.3804809078
673	0.3803599177
674	0.3801904336
675	0.3800884566
676	0.3799621587
677	0.3798229506
678	0.3797193901
679	0.3796655496
680	0.3795432596
681	0.3794353267
682	0.379310912
683	0.3792036105
684	0.3791240476
685	0.3790736193
686	0.3789055029
687	0.3787330347
688	0.3785985325
689	0.3784678409
690	0.3783531763
691	0.3782361228
692	0.378132561
693	0.3779975189
694	0.3779011098
695	0.3778105382
696	0.3777031205
697	0.3775701376
698	0.377421111
699	0.3772631941
700	0.377189498
701	0.3770114781
702	0.3769015833
703	0.3767572528
704	0.3766483158
705	0.3764238699
706	0.3762905861
707	0.3760492247
708	0.3759778669
709	0.3758694903
710	0.3757990005
711	0.37565887
712	0.3755464686
713	0.3754650341
714	0.3753274706
715	0.3752025384
716	0.37508212
717	0.3749515843
718	0.3748812755
719	0.3747514867
720	0.3746571773
721	0.3745320963
722	0.3743663729
723	0.3742943439
724	0.3741661535
725	0.374036172
726	0.373900479
727	0.3738357859
728	0.3737373954
729	0.3736065297
730	0.3734121268
731	0.3732948285
732	0.3731268704
733	0.3730320834
734	0.3729208524
735	0.3727815714
736	0.3727366843
737	0.3726440497
738	0.372538231
739	0.3724000875
740	0.372336973
741	0.3722353997
742	0.3720973171
743	0.3719596342
744	0.3718397233
745	0.3717140009
746	0.3715678142
747	0.3714809384
748	0.3713941399
749	0.3712410222
750	0.3711420268
751	0.3710001456
