iter	Passed	Remaining
0	1	1018
1	1	956
2	2	922
3	3	906
4	4	887
5	5	882
6	6	875
7	7	874
8	7	871
9	8	857
10	9	850
11	10	843
12	10	831
13	11	830
14	12	826
15	13	823
16	14	828
17	15	830
18	16	829
19	16	825
20	17	823
21	18	823
22	19	823
23	20	822
24	21	823
25	21	823
26	22	822
27	23	820
28	24	821
29	25	820
30	26	819
31	27	818
32	27	818
33	28	818
34	29	817
35	30	817
36	31	815
37	32	811
38	32	810
39	33	809
40	34	810
41	35	809
42	36	808
43	37	806
44	37	804
45	38	803
46	39	803
47	40	802
48	41	802
49	42	803
50	42	798
51	43	797
52	44	795
53	45	794
54	46	793
55	46	792
56	47	790
57	48	790
58	49	789
59	50	788
60	51	788
61	51	786
62	52	785
63	53	783
64	54	782
65	55	782
66	56	780
67	56	780
68	57	778
69	58	778
70	59	776
71	60	775
72	61	775
73	61	773
74	62	773
75	63	771
76	64	771
77	65	770
78	66	770
79	66	768
80	67	767
81	68	766
82	69	765
83	70	765
84	71	764
85	71	764
86	72	763
87	73	762
88	74	761
89	75	759
90	75	758
91	76	757
92	77	757
93	78	756
94	79	754
95	80	754
96	80	753
97	81	752
98	82	751
99	83	750
100	84	750
101	85	749
102	86	749
103	86	748
104	87	748
105	88	747
106	89	746
107	90	745
108	91	744
109	91	743
110	92	742
111	93	741
112	94	741
113	95	740
114	96	739
115	96	738
116	97	737
117	98	736
118	99	736
119	100	735
120	101	734
121	102	734
122	102	733
123	103	732
124	104	731
125	105	730
126	106	730
127	107	729
128	107	728
129	108	727
130	109	726
131	110	725
132	111	724
133	112	724
134	112	723
135	113	722
136	114	722
137	115	721
138	116	721
139	117	720
140	118	720
141	119	719
142	119	718
143	120	717
144	121	717
145	122	716
146	123	716
147	124	714
148	124	713
149	125	712
150	126	712
151	127	711
152	128	710
153	129	709
154	129	708
155	130	707
156	131	706
157	132	706
158	133	705
159	134	705
160	135	704
161	136	704
162	136	703
163	137	702
164	138	701
165	139	700
166	140	700
167	141	699
168	142	698
169	143	698
170	143	697
171	144	696
172	145	695
173	146	694
174	147	694
175	148	693
176	148	692
177	149	691
178	150	691
179	151	690
180	152	690
181	153	689
182	154	688
183	154	687
184	155	686
